"filename", "language", "Python", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\Exam-paper\backend\scripts\dump_mysql_table_schema.py", "Python", 34, 0, 0, 6, 8, 48
"d:\Exam-paper\backend\scripts\extract_layout.py", "Python", 263, 0, 0, 3, 43, 309
"d:\Exam-paper\backend\scripts\init_postgres_schema.py", "Python", 65, 0, 0, 23, 19, 107
"d:\Exam-paper\backend\scripts\inspect_question_answers.py", "Python", 43, 0, 0, 1, 12, 56
"d:\Exam-paper\backend\scripts\list_documents.py", "Python", 41, 0, 0, 5, 14, 60
"d:\Exam-paper\backend\scripts\list_mysql_tables.py", "Python", 26, 0, 0, 6, 9, 41
"d:\Exam-paper\backend\scripts\migrate_mysql_to_postgres.py", "Python", 146, 0, 0, 13, 36, 195
"d:\Exam-paper\backend\scripts\reset_document_ocr.py", "Python", 62, 0, 0, 8, 17, 87
"d:\Exam-paper\backend\scripts\run_question_catalog_sql.py", "Python", 55, 0, 0, 12, 21, 88
"d:\Exam-paper\backend\scripts\run_sql_migration.py", "Python", 71, 0, 0, 12, 22, 105
"d:\Exam-paper\backend\scripts\setup_paddleocr.py", "Python", 48, 0, 0, 4, 20, 72
"d:\Exam-paper\backend\scripts\setup_postgres_db.py", "Python", 111, 0, 0, 29, 23, 163
"d:\Exam-paper\backend\scripts\test_gemini_api.py", "Python", 82, 0, 0, 9, 14, 105
"d:\Exam-paper\backend\scripts\test_ocr.py", "Python", 44, 0, 0, 0, 14, 58
"d:\Exam-paper\backend\tests\agentic\test_function_calling_runtime.py", "Python", 51, 0, 0, 0, 9, 60
"d:\Exam-paper\backend\tests\agentic\test_interrupt_reasoning.py", "Python", 17, 0, 0, 0, 8, 25
"d:\Exam-paper\backend\tests\agentic\test_multimodal_evidence_tool_feedback.py", "Python", 63, 0, 0, 0, 11, 74
"d:\Exam-paper\backend\tests\agentic\test_no_placeholder_runtime.py", "Python", 40, 0, 0, 0, 7, 47
"d:\Exam-paper\backend\tests\agentic\test_short_term_memory_window.py", "Python", 12, 0, 0, 0, 8, 20
"d:\Exam-paper\backend\tests\assistant_graph\test_agent_observation_evidence_projection.py", "Python", 37, 0, 0, 0, 6, 43
"d:\Exam-paper\backend\tests\assistant_graph\test_agent_session_runtime_contract.py", "Python", 95, 0, 0, 0, 22, 117
"d:\Exam-paper\backend\tests\assistant_graph\test_agent_stream_trace_events.py", "Python", 154, 0, 0, 0, 32, 186
"d:\Exam-paper\backend\tests\assistant_graph\test_cognition_blackboard.py", "Python", 86, 0, 0, 0, 15, 101
"d:\Exam-paper\backend\tests\assistant_graph\test_cognitive_decision_runtime.py", "Python", 162, 0, 0, 0, 26, 188
"d:\Exam-paper\backend\tests\assistant_graph\test_evidence_register_runtime.py", "Python", 222, 0, 0, 0, 32, 254
"d:\Exam-paper\backend\tests\assistant_graph\test_generic_cognition_schema.py", "Python", 15, 0, 0, 0, 6, 21
"d:\Exam-paper\backend\tests\assistant_graph\test_interrupt_resume_payload_parsing.py", "Python", 14, 0, 0, 0, 7, 21
"d:\Exam-paper\backend\tests\assistant_graph\test_kb_contract_refactor.py", "Python", 186, 0, 0, 0, 34, 220
"d:\Exam-paper\backend\tests\assistant_graph\test_kb_dual_lane_runtime.py", "Python", 69, 0, 0, 0, 11, 80
"d:\Exam-paper\backend\tests\assistant_graph\test_kb_evidence_environment_signals.py", "Python", 205, 0, 0, 0, 41, 246
"d:\Exam-paper\backend\tests\assistant_graph\test_message_adapter_contract.py", "Python", 22, 0, 0, 0, 10, 32
"d:\Exam-paper\backend\tests\assistant_graph\test_persist_continuation_summary.py", "Python", 22, 0, 0, 0, 7, 29
"d:\Exam-paper\backend\tests\assistant_graph\test_question_tools_mapping.py", "Python", 180, 0, 0, 0, 34, 214
"d:\Exam-paper\backend\tests\assistant_graph\test_router_source_binding_and_human_io.py", "Python", 269, 0, 0, 0, 67, 336
"d:\Exam-paper\backend\tests\assistant_graph\test_runtime_interrupt_mapping.py", "Python", 59, 0, 0, 0, 15, 74
"d:\Exam-paper\backend\tests\assistant_graph\test_runtime_interrupt_protocol.py", "Python", 38, 0, 0, 0, 11, 49
"d:\Exam-paper\backend\tests\assistant_graph\test_runtime_multimodal_tool_passthrough.py", "Python", 154, 0, 0, 0, 28, 182
"d:\Exam-paper\backend\tests\assistant_graph\test_search_agent_streaming.py", "Python", 39, 0, 0, 0, 11, 50
"d:\Exam-paper\backend\tests\assistant_graph\test_step_count_runtime.py", "Python", 147, 0, 0, 0, 25, 172
"d:\Exam-paper\backend\tests\assistant_graph\test_thinking_continuity.py", "Python", 24, 0, 0, 0, 8, 32
"d:\Exam-paper\backend\tests\assistant_graph\test_tool_error_feedback.py", "Python", 28, 0, 0, 0, 9, 37
"d:\Exam-paper\backend\tests\assistant_graph\test_tool_registry_split.py", "Python", 10, 0, 0, 0, 4, 14
"d:\Exam-paper\backend\tests\assistant_graph\test_workspace_environment_tools.py", "Python", 42, 0, 0, 0, 11, 53
"d:\Exam-paper\backend\tests\assistant_graph\test_workspace_resource_tool_scope.py", "Python", 36, 0, 0, 0, 9, 45
"d:\Exam-paper\backend\tests\assistant_graph\test_workspace_source_tools.py", "Python", 27, 0, 0, 0, 7, 34
"d:\Exam-paper\backend\tests\assistant_graph\test_world_model_fact_only.py", "Python", 42, 0, 0, 0, 10, 52
"d:\Exam-paper\backend\tests\services\test_agent_service_sessions.py", "Python", 44, 0, 0, 0, 14, 58
"d:\Exam-paper\backend\tests\services\test_kb_chunk_builders.py", "Python", 15, 0, 0, 0, 7, 22
"d:\Exam-paper\backend\tests\services\test_kb_extractors.py", "Python", 27, 0, 0, 0, 12, 39
"d:\Exam-paper\backend\tests\services\test_kb_ingest_service.py", "Python", 57, 0, 0, 0, 22, 79
"d:\Exam-paper\backend\tests\services\test_mindmap_service.py", "Python", 315, 0, 0, 22, 38, 375
"d:\Exam-paper\backend\tests\services\test_qwen_client_stream_contract.py", "Python", 163, 0, 0, 0, 29, 192
"d:\Exam-paper\backend\tests\services\test_qwen_embedding_client.py", "Python", 163, 0, 0, 0, 68, 231
"d:\Exam-paper\backend\tests\services\test_rag_service.py", "Python", 237, 0, 0, 0, 30, 267
"d:\Exam-paper\backend\tests\test_loop_budget.py", "Python", 44, 0, 0, 0, 6, 50
"Total", "-", 29789, 3351, 662, 3011, 6096, 42909
